titre,annee,realisateur,note_presse,note_spectateurs,url
Sur la route de Madison,1995,Clint Eastwood,4.6,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=12994.html
Le Gouffre aux chimères,1952,Billy Wilder,4.3,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=87253.html
Dragons,2010,"Chris Sanders, Dean DeBlois",3.9,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=123534.html
Les Figures de l'ombre,2017,Theodore Melfi,3.3,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=219070.html
Taxi Driver,1976,Martin Scorsese,4.8,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=308.html
Togo,2020,Ericson Core,,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=243860.html
Boulevard du crépuscule,1951,Billy Wilder,4.4,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=836.html
Hamilton,2020,Thomas Kail,,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=253979.html
"America, America",1964,Elia Kazan,,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=70.html
Parasite - Version noir et blanc,2020,Bong Joon Ho,,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=280757.html
La Grande évasion,1963,John Sturges,3.8,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=38827.html
Le Sommet des Dieux,2021,Patrick Imbert,4.2,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=269946.html
L'Impasse,1994,Brian De Palma,4.8,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=9530.html
Rendez-vous,1945,Ernst Lubitsch,4.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=679.html
La Fille du puisatier,1940,Marcel Pagnol,,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=11725.html
Memories of Murder,2004,Bong Joon Ho,4.4,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=55483.html
Raging Bull,1981,Martin Scorsese,5.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=950.html
Printemps tardif,1994,Yasujirô Ozu,,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=6260.html
Fanny et Alexandre - Partie 1,2019,Ingmar Bergman,,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=947.html
Les Incorruptibles,1987,Brian De Palma,3.3,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=2770.html
Mirage de la vie,1959,Douglas Sirk,4.3,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=14287.html
L'Inconnu,2002,Tod Browning,5.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=26867.html
Eve,1951,Joseph L. Mankiewicz,,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=1596.html
À bout de course,1988,Sidney Lumet,4.8,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=4127.html
La Colline des hommes perdus,2007,Sidney Lumet,5.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=33419.html
"La Vie d'O'Haru, Femme Galante",2016,Kenji Mizoguchi,5.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=461.html
Les Chaussons rouges,1949,"Michael Powell, Emeric Pressburger",5.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=553.html
Los Olvidados (Pitié pour eux),2001,Luis Buñuel,,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=1997.html
Et pour quelques dollars de plus,1966,Sergio Leone,3.7,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=929.html
Mon voisin Totoro,1999,Hayao Miyazaki,4.4,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=14790.html
La Trilogie Marseillaise de Marcel Pagnol : Marius,1931,"Alexander Korda, Marcel Pagnol",,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=4670.html
Scarface,1984,Brian De Palma,3.9,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=900.html
Le Château dans le ciel,2003,Hayao Miyazaki,5.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=40133.html
12 Years a Slave,2014,Steve McQueen (II),4.2,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=196885.html
Le Garçon et la Bête,2016,Mamoru Hosoda,4.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=236155.html
Voyage à Tokyo,1978,Yasujirô Ozu,4.8,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=986.html
Capharnaüm,2018,Nadine Labaki,3.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=251090.html
Citizen Kane,1946,Orson Welles,4.8,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=857.html
